zip_code,offense_nibrs,incident_number,offense_description,incident_reported,zone,latitude,longitude,incident_occurred,primary_key,geometry,index_right,precinct
37208,35A,20180521278,MARIJUANA - POSSESS,2018-06-15T20:11:00,413,36.176,-86.782,2018-06-15T19:27:00,20180521278_11,POINT (-86.782 36.176),0,CENTRAL
37203,35A,20180030767,MARIJUANA - POSSESS,2018-01-10T12:02:00,423,36.152,-86.778,2018-01-10T12:02:00,20180030767_11,POINT (-86.77800000000001 36.152),0,CENTRAL
37201,35A,20180010232,POSSESSION OF A CONTROLLED SUBSTANCE,2018-01-04T02:56:00,415,36.163,-86.776,2018-01-04T01:52:00,20180010232_11,POINT (-86.776 36.163),0,CENTRAL
37201,35A,20180056121,MARIJUANA - POSSESS,2018-01-18T04:59:00,415,36.162,-86.775,2018-01-18T02:35:00,20180056121_11,POINT (-86.77500000000001 36.162),0,CENTRAL
37203,35A,20180788972,POSSESSION OF A CONTROLLED SUBSTANCE,2018-09-15T11:01:00,423,36.15,-86.778,2018-09-15T09:40:00,20180788972_22,POINT (-86.77800000000001 36.15),0,CENTRAL
37203,35A,20180748599,POSSESSION OF A CONTROLLED SUBSTANCE,2018-08-31T23:50:00,,36.151,-86.774,2018-08-31T23:27:00,20180748599_11,POINT (-86.774 36.151),0,CENTRAL
37213,35A,20180633923,POSSESSION OF A CONTROLLED SUBSTANCE,2018-07-23T21:10:00,413,36.166,-86.766,2018-07-23T20:00:00,20180633923_21,POINT (-86.76600000000001 36.166),0,CENTRAL
37203,35A,20180701127,POSSESSION OF A CONTROLLED SUBSTANCE,2018-08-15T21:34:00,423,36.152,-86.776,2018-08-15T20:07:00,20180701127_11,POINT (-86.776 36.152),0,CENTRAL
37213,35A,20180061343,POSSESSION OF A CONTROLLED SUBSTANCE,2018-01-19T12:58:00,413,36.17,-86.768,2018-01-19T11:49:00,20180061343_11,POINT (-86.768 36.17),0,CENTRAL
37201,35A,20180032799,POSSESSION OF A CONTROLLED SUBSTANCE,2018-01-10T23:09:00,421,36.162,-86.775,2018-01-10T21:55:00,20180032799_11,POINT (-86.77500000000001 36.162),0,CENTRAL
,35A,20180431522,POSSESSION OF A CONTROLLED SUB FOR RESALE,2018-05-16T07:05:00,,36.15,-86.78,2018-05-13T10:45:00,20180431522_21,POINT (-86.78 36.15),0,CENTRAL
37213,35A,20180477407,POSSESSION OF A CONTROLLED SUBSTANCE,2018-06-01T03:54:00,413,36.161,-86.769,2018-06-01T01:17:00,20180477407_11,POINT (-86.76900000000001 36.161),0,CENTRAL
37210,35A,20180065712,POSSESSION OF A CONTROLLED SUBSTANCE,2018-01-20T21:54:00,425,36.153,-86.77,2018-01-20T20:31:00,20180065712_11,POINT (-86.77 36.153),0,CENTRAL
37201,35A,20180658786,POSSESSION OF A CONTROLLED SUBSTANCE,2018-08-01T05:04:00,415,36.164,-86.778,2018-08-01T03:39:00,20180658786_11,POINT (-86.77800000000001 36.164),0,CENTRAL
