Number,Year Erected,Marker Name,Marker Text,Civil War Site?,Notes,Location,Latitude,Longitude,Condition,Mapped Location
94,1995,Votes for Women,"On August 18, 1920, Tennessee became the 36th state to ratify the 19th Amendment to the U.S. Constitution, thereby giving all American women the right to vote. After weeks of intense lobbying by national leaders, Tennessee passed the measure by one vote. The headquarters for both suffragists, wearing yellow roses,  and anti-suffragists, wearing red roses, were in the Hermitage Hotel.",,,Union Street and Capitol Boulevard,36.164158,-86.782348,,POINT (-86.782348 36.164158)
82,1982,Oglesby Community House,"Built 1898, the Mary Lee Academy, the second school in the Oglesby Community, was named for its first teacher, Miss Mary Lee Clark. The county bought the school in 1906. The name changed to Ogilvie in honor of the land donor, Benton H. Ogilvie, and later became Oglesby. In 1943, the schoolhouse was given back to the Oglesby Community.",,,5724 Edmondson Pike,36.037807,-86.743326,,POINT (-86.743326 36.037807)
68,1976,Edmondson Home Site,"Will Edmondson, born about 1883 of former slave parents in the Hillsboro area of Davidson County, worked as a railroad and hospital laborer until 1931, when he began his primitive limestone carvings. Working without formal training, he produced some remarkable sculptures which won high praise in exhibits across the nation. He died in 1951.",,,"Fourteenth Avenue South, north of Wade Avenue",36.137383,-86.790549,,POINT (-86.790549 36.137383)
53,1975,Frederick Stump 1724-1822,"Frederick Stump, an early settler in the Fort Nashboro area came from Pennsylvania by way of Georgia.  He was a Revolutionary War soldier & noted Indian fighter.  He owned a large plantation along White's Creek where he operated a mill & inn & rented land to other settlers.  This log house is said to have been his home and inn.",,,4949 Buena Vista Pike,36.231955,-86.824931,,POINT (-86.824931 36.231955)
196,2019,Freedman's Savings and Trust Company Bank,"In March 1865, Congress established the Freedman's Savings and Trust Company Bank. A Nashville branch was chartered in Dec. 1865. By 1867, there were 37 branches, mostly in the South. Liberty Hall was built at 44 Cedar Street in 1871 to serve as home to the bank. Despite local successes, federal mismanagement and corruption led to the closure of all branches in 1874. In 1909, another African-American bank, the People's Savings Bank and Trust Co., opened at 410 Cedar Street.",,Marker Project- prioirty list double sided,330 Dr. M.L.K. Jr. Blvd.,36.166414,-86.780457,,POINT (-86.780457 36.166414)
135,2009,The Seeing Eye Independence and Dignity Since 1929,"The Seeing Eye, the world-famous dog guide training school, was incorporated in Nashville January 29, 1929, with headquarters in the Fourth and First National Bank Building at 315 Union St. Morris Frank, a 20-year-old blind man from Nashville, and his guide dog, Buddy, played a key role in the school's founding and subsequent success. It was Frank who persuaded Dorothy Harrison Eustis to establish a school in the United States.",,,Union Street at Third Avenue North,36.165579,-86.778611,,POINT (-86.778611 36.165579)
132,2008,Dry-stack Stone Walls,"Dry-stack stone walls, a Scots-Irish building tradition adapted by slaves in the early 19th century, were common throughout middle Tennessee. During the 1864 Battle of Nashville, Brigadier General Henry Jackson was captured at this wall on the Middle Franklin Turnpike after the Confederate line collapsed at Shy's Hill.",TRUE,,4708 Granny White Pike,36.085384,-86.804379,,POINT (-86.804379 36.085384)
138,2010,Hill Forest,"In 1910, H.G. Hill, Sr. purchased this 324 acres including an old-growth forest west of downtown Nashville. He refused to allow the trees to be sold for timber, and fenced the forest to keep his cattle from damaging the centuries-old trees. Hill enjoyed its pristine beauty throughout his lifetime. In 2009, the Friends of Warner Parks purchased the land from the Hill family, ensuring that this ancient forest in an urban setting will continue to be preserved.",,,6811 Highway 70 South,36.079758,-86.903032,,POINT (-86.903032 36.079758)
200,2019,Girl Scouts of Middle Tenneesee,"In 1917, five years after Girl Scouts was founded in Savannah, Ga., the first troops were formed in Nashville. By 1927 there were enough troops and community support to join the national organization as the Nashville Girl Scouts Council. The first headquarters was built in 1964 at 830 Kirkwood Ave. and moved to Granny White Pike in 1991. Now called Girl Scouts of Middle Tenn., they still strive to build girls of courage, confidence and character who make the world a better place.",,Council District 34 double sided,4522 Granny White Pike,36.089473,-86.802738,,POINT (-86.802738 36.089473)
148,2013,Cohn School,"Designed by architects Asmus and Clark and opened in 1928 as a junior high school, Cohn School was named in memory of Corinne Lieberman Cohn, one of the first female members of the school board.  Jonas H. Sikes served as first principal. The school added high school grades in 1937, and graduated its first high school class in 1940. Following school desegregation, Cohn High merged with Pearl High in 1983. The building now serves as the Cohn Adult Learning Center.",,double-sided,"Cohn School, 4805 Park Avenue, (Sylvan Park)",36.150993,-86.84525,,POINT (-86.84525 36.150993)
