zip_code,offense_nibrs,incident_number,offense_description,incident_reported,zone,latitude,longitude,incident_occurred,primary_key,geometry,index_right,precinct
37201,90E,20180453095,PUBLIC INTOXICATION,2018-05-23T12:09:00,425,36.16,-86.771,2018-05-23T11:30:00,20180453095_11,POINT (-86.771 36.16),0,CENTRAL
37210,90E,20180835583,PUBLIC INTOXICATION,2018-10-02T09:20:00,425,36.157,-86.771,2018-10-02T08:30:00,20180835583_23,POINT (-86.771 36.157),0,CENTRAL
37208,90E,20180863840,PUBLIC INTOXICATION,2018-10-12T21:41:00,413,36.176,-86.785,2018-10-12T20:15:00,20180863840_11,POINT (-86.785 36.176),0,CENTRAL
37203,90E,20181022087,PUBLIC INTOXICATION,2018-12-09T22:39:00,411,36.158,-86.788,2018-12-09T21:00:00,20181022087_22,POINT (-86.788 36.158),0,CENTRAL
37219,90E,20180893023,PUBLIC INTOXICATION,2018-10-23T16:13:00,411,36.166,-86.781,2018-10-23T15:45:00,20180893023_11,POINT (-86.78100000000001 36.166),0,CENTRAL
37210,90E,20180841663,PUBLIC INTOXICATION,2018-10-04T11:23:00,425,36.157,-86.771,2018-10-04T07:47:00,20180841663_11,POINT (-86.771 36.157),0,CENTRAL
37210,90E,20180392755,PUBLIC INTOXICATION,2018-05-03T10:21:00,425,36.157,-86.772,2018-05-03T09:40:00,20180392755_11,POINT (-86.77200000000001 36.157),0,CENTRAL
37213,90E,20180209914,PUBLIC INTOXICATION,2018-03-06T09:29:00,413,36.165,-86.768,2018-03-06T09:00:00,20180209914_11,POINT (-86.768 36.165),0,CENTRAL
37201,90E,20180645421,PUBLIC INTOXICATION,2018-07-27T09:48:00,415,36.168,-86.779,2018-07-27T09:13:00,20180645421_11,POINT (-86.779 36.168),0,CENTRAL
37206,90E,20180294110,PUBLIC INTOXICATION,2018-04-02T01:38:00,213,36.176,-86.755,2018-04-02T00:30:00,20180294110_11,POINT (-86.755 36.176),1,EAST
37216,90E,20180235144,PUBLIC INTOXICATION,2018-03-14T00:10:00,217,36.197,-86.742,2018-03-13T23:33:00,20180235144_11,POINT (-86.742 36.197),1,EAST
37206,90E,20180955558,PUBLIC INTOXICATION,2018-11-14T16:05:00,227,36.18,-86.757,2018-11-14T14:12:00,20180955558_11,POINT (-86.75700000000001 36.18),1,EAST
37207,90E,20180613953,PUBLIC INTOXICATION,2018-07-17T02:18:00,225,36.227,-86.76,2018-07-17T01:06:00,20180613953_21,POINT (-86.76000000000001 36.227),1,EAST
37207,90E,20180541963,PUBLIC INTOXICATION,2018-06-22T20:37:00,221,36.186,-86.774,2018-06-22T18:55:00,20180541963_11,POINT (-86.774 36.186),1,EAST
37206,90E,20180828903,PUBLIC INTOXICATION,2018-09-29T12:10:00,215,36.171,-86.736,2018-09-29T11:00:00,20180828903_31,POINT (-86.736 36.171),1,EAST
37206,90E,20180161310,PUBLIC INTOXICATION,2018-02-19T01:54:00,227,36.18,-86.755,2018-02-19T00:35:00,20180161310_11,POINT (-86.755 36.18),1,EAST
37206,90E,20180089960,PUBLIC INTOXICATION,2018-01-28T03:30:00,215,36.196,-86.74,2018-01-28T01:14:00,20180089960_11,POINT (-86.73999999999999 36.196),1,EAST
37203,90E,20180770810,PUBLIC INTOXICATION,2018-09-09T02:47:00,811,36.184,-86.732,2018-09-09T00:32:00,20180770810_22,POINT (-86.732 36.184),1,EAST
37210,90E,20180086888,PUBLIC INTOXICATION,2018-01-27T00:32:00,511,36.151,-86.767,2018-01-27T00:10:00,20180086888_21,POINT (-86.767 36.151),2,HERMITAGE
