zip_code,offense_nibrs,incident_number,offense_description,incident_reported,zone,latitude,longitude,incident_occurred,primary_key,geometry,index_right,precinct
37207,40A,20180764536,PROSTITUTION,2018-09-06T15:58:00,413,36.177,-86.776,2018-09-06T15:58:00,20180764536_11,POINT (-86.776 36.177),0,CENTRAL
37207,40A,20180800994,PROSTITUTION,2018-09-18T15:00:00,413,36.177,-86.776,2018-09-18T15:00:00,20180800994_11,POINT (-86.776 36.177),0,CENTRAL
37207,40A,20180390857,PROSTITUTION,2018-05-02T19:20:00,221,36.194,-86.772,2018-05-02T18:50:00,20180390857_11,POINT (-86.77200000000001 36.194),1,EAST
37207,40A,20180673994,PROSTITUTION,2018-08-06T19:51:00,225,36.235,-86.758,2018-08-06T18:30:00,20180673994_11,POINT (-86.758 36.235),1,EAST
37207,40A,20180024586,PROSTITUTION,2018-01-08T20:00:00,223,36.206,-86.772,2018-01-08T17:30:00,20180024586_11,POINT (-86.77200000000001 36.206),1,EAST
37207,40A,20180475932,PROSTITUTION,2018-05-31T16:43:00,223,36.2,-86.768,2018-05-31T16:43:00,20180475932_11,POINT (-86.768 36.2),1,EAST
37207,40A,20180133543,PROSTITUTION,2018-02-09T22:30:00,225,36.234,-86.759,2018-02-09T20:28:00,20180133543_11,POINT (-86.759 36.234),1,EAST
37207,40A,20180805788,PROSTITUTION,2018-09-21T08:00:00,223,36.206,-86.769,2018-09-21T05:00:00,20180805788_11,POINT (-86.76900000000001 36.206),1,EAST
37207,40A,20180432426,PROSTITUTION,2018-05-16T14:20:00,223,36.221,-86.756,2018-05-16T14:20:00,20180432426_11,POINT (-86.756 36.221),1,EAST
37207,40A,20180167317,PROSTITUTION,2018-02-20T20:00:00,225,36.229,-86.759,2018-02-20T19:00:00,20180167317_11,POINT (-86.759 36.229),1,EAST
37207,40A,20181042528,PROSTITUTION,2018-12-17T19:40:00,223,36.206,-86.769,2018-12-17T18:30:00,20181042528_11,POINT (-86.76900000000001 36.206),1,EAST
37207,40A,20180640070,PROSTITUTION,2018-07-25T20:00:00,221,36.183,-86.768,2018-07-25T17:30:00,20180640070_11,POINT (-86.768 36.183),1,EAST
37207,40A,20180581455,PROSTITUTION,2018-07-08T17:12:00,221,36.19,-86.771,2018-07-05T17:00:00,20180581455_11,POINT (-86.771 36.19),1,EAST
37207,40A,20180764492,PROSTITUTION,2018-09-06T20:10:00,223,36.206,-86.769,2018-09-06T17:30:00,20180764492_11,POINT (-86.76900000000001 36.206),1,EAST
37207,40A,20180593223,PROSTITUTION,2018-07-09T19:30:00,221,36.183,-86.774,2018-07-09T17:30:00,20180593223_11,POINT (-86.774 36.183),1,EAST
37207,40A,20180660948,PROSTITUTION,2018-08-01T19:19:00,223,36.217,-86.763,2018-08-01T19:19:00,20180660948_11,POINT (-86.76300000000001 36.217),1,EAST
37216,40A,20180426563,PROSTITUTION,2018-05-14T19:05:00,225,36.23,-86.73,2018-05-14T17:21:00,20180426563_21,POINT (-86.73 36.23),1,EAST
37207,40A,20180640153,PROSTITUTION,2018-07-25T17:13:00,221,36.192,-86.772,2018-07-25T17:13:00,20180640153_11,POINT (-86.77200000000001 36.192),1,EAST
,40A,20180834445,PROSTITUTION,2018-10-01T21:43:00,,36.19,-86.75,2018-02-01T12:00:00,20180834445_11,POINT (-86.75 36.19),1,EAST
37207,40A,20180263174,PROSTITUTION,2018-03-22T18:30:00,221,36.197,-86.766,2018-03-22T14:20:00,20180263174_11,POINT (-86.76600000000001 36.197),1,EAST
37207,40A,20180843233,PROSTITUTION,2018-10-07T18:21:00,223,36.201,-86.767,2018-10-04T19:23:00,20180843233_11,POINT (-86.767 36.201),1,EAST
37207,40A,20180760834,PROSTITUTION,2018-09-05T20:36:00,225,36.235,-86.758,2018-09-05T14:30:00,20180760834_31,POINT (-86.758 36.235),1,EAST
37207,40A,20180097202,PROSTITUTION,2018-01-30T13:07:00,225,36.235,-86.758,2018-01-30T11:10:00,20180097202_11,POINT (-86.758 36.235),1,EAST
37207,40A,20180553326,PROSTITUTION,2018-06-27T09:40:00,221,36.205,-86.764,2018-06-26T18:00:00,20180553326_11,POINT (-86.764 36.205),1,EAST
37216,40A,20180195110,PROSTITUTION,2018-03-01T13:30:00,225,36.234,-86.728,2018-03-01T13:30:00,20180195110_1,POINT (-86.72799999999999 36.234),1,EAST
37207,40A,20180593187,PROSTITUTION,2018-07-09T17:00:00,221,36.185,-86.774,2018-07-09T17:00:00,20180593187_11,POINT (-86.774 36.185),1,EAST
37206,40A,20180783781,PROSTITUTION,2018-09-13T14:00:00,211,36.174,-86.76,2018-09-13T14:00:00,20180783781_11,POINT (-86.76000000000001 36.174),1,EAST
37207,40A,20180640389,PROSTITUTION,2018-07-25T18:26:00,223,36.208,-86.767,2018-07-25T18:26:00,20180640389_11,POINT (-86.767 36.208),1,EAST
37207,40A,20180102722,PROSTITUTION,2018-01-31T19:20:00,223,36.211,-86.765,2018-01-31T18:50:00,20180102722_11,POINT (-86.765 36.211),1,EAST
37207,40A,20180784266,PROSTITUTION,2018-09-13T19:45:00,223,36.206,-86.769,2018-09-13T17:15:00,20180784266_21,POINT (-86.76900000000001 36.206),1,EAST
37207,40A,20180663935,PROSTITUTION,2018-08-02T18:30:00,221,36.193,-86.772,2018-08-02T18:30:00,20180663935_11,POINT (-86.77200000000001 36.193),1,EAST
37207,40A,20180429290,PROSTITUTION,2018-05-15T14:48:00,223,36.2,-86.77,2018-05-15T14:48:00,20180429290_21,POINT (-86.77 36.2),1,EAST
37214,40A,20180302892,PROSTITUTION,2018-04-04T16:00:00,513,36.155,-86.69,2018-04-04T14:25:00,20180302892_11,POINT (-86.69 36.155),2,HERMITAGE
37214,40A,20180912877,PROSTITUTION,2018-10-30T18:05:00,513,36.158,-86.691,2018-10-30T18:05:00,20180912877_11,POINT (-86.691 36.158),2,HERMITAGE
37214,40A,20180008784,PROSTITUTION,2018-01-03T18:00:00,515,36.217,-86.696,2018-01-03T16:30:00,20180008784_11,POINT (-86.696 36.217),2,HERMITAGE
37214,40A,20180329333,PROSTITUTION,2018-04-17T16:35:00,513,36.153,-86.688,2018-04-12T17:30:00,20180329333_11,POINT (-86.688 36.153),2,HERMITAGE
